supp_table1_figure,ensemble,runs_stated,category,unique_runs_in_seed_audit,table,note
"S1, S8",Neutral controls (width/tilt/plateau),7900,B,0,controls_neutral.parquet + w/theta trajectory .npz,"tracks are width/trajectory, not seeded run tables; controls_summary.json aggregate only"
"S8, S2",Tension spectra (dB),479,B,0,"tension_results.parquet, tension_spectra.npz",spectra table; no per-run seed ledger among audit inputs
S2,Collapse replication arms,288,B,0,collapse_replication.parquet,"2-row aggregate, no seed column"
"2a-c, 1c",T_fix scaling ladders,4250,A,4100,tfix_results.parquet,"4,250 rows; 150 are exact duplicates of bd_results rows, so 4,100 unique enter the audit | PARTIAL DOUBLE-BOOKING: 150 of these neutral runs are also re-deposited inside the S3/Bd row (bd source=tfix_neutral_reuse); they count once in the 132,749 distinct simulations"
3a-d,Mechanism: arrest/deposition/excursions,320,B,0,"scar_data.npz, excursion_stats.parquet, jackpot_data.npz","excursion_stats.parquet excluded by the audit as DERIVED (event table, not per-run)"
"4a-b, S3",Effect-size (s_d) sweep,1580,A,1580,sdsweep_results.parquet,
4c,Tail ensemble (Hill alpha vs s_d),1600,A_dup,0,tail_ensemble.parquet,"1,600 rows byte-identical to bd_results rows (bd 'source'=tail_ensemble_reuse); audited under the S3 row; DOUBLE-BOOKED against S3 within the 135,999"
S6,"alpha(s_d, L_short) map",9200,B,0,alpha_map_runs.parquet,per-run seeded table IS deposited but is NOT among the audit's inputs -> unaudited
S3,Bd vs dB battery,2900,A,2900,bd_results.parquet,"2,900 rows all audited; but 1,600 (source=tail_ensemble_reuse) + 150 (source=tfix_neutral_reuse) are re-deposits of runs booked in rows 4c and 2a-c -> only 1,150 are new simulations | of the 2,900 Bd rows only 1,150 are new simulations; 1,600 duplicate row 4c (A_dup) and 150 duplicate rows in 2a-c (partial overlap kept in category A)"
S4,k-clone tournaments,960,B,0,kclone_runs/events/results.parquet,seeded per-run tables deposited but NOT among audit inputs -> unaudited
S5,Beneficial-supply arms,1500,A_dup,0,tfix_results.parquet (exp 2),"1,500 = tfix_results exp-2 arm, already booked in the 2a-c row (4,250); DOUBLE-BOOKED in the 135,999; audited within tfix's 4,100 unique"
5,DFE composition (ladder+anchors+sens+tissue),12300,A,12300,production_dfe.parquet,
5 (pilot),DFE pilot + point-mass validation,1700,C,0,"pilot_dfe.parquet, validation_pairs.parquet","pilot/validation, seeded tables deposited but not among audit inputs; no headline statistic"
S16,Frequency-dependent selection phases 1-3,5600,B,0,fd_p1/p2/p3.parquet,seeded per-run tables deposited but NOT among audit inputs -> unaudited
"S16 (pilot), S7",FD pilot + width-invariance,3336,C,0,"fd_pilot_results.parquet, fd_width_summary.parquet",pilot; not among audit inputs
