claim,location,old,corrected,unit_old,unit_new,verdict,supported
Wake fitter than replaced tissue (paired-passage delta),"Results, 'digs its own trench'","paired delta +0.95%, p < 1e-300 (n = 28,066 site-passages, treated iid)","delta = +0.951% (95% CI 0.91-0.99%); serial correlation (lag-1 rho = 0.59, corr. length ~33) -> n_eff ~ 3,300; block/run-clustered bootstrap SE 0.00020 vs naive 0.000069; worst case (150 run-scale blocks) t = 47.8, p ~ 3e-92","site-passage (28,066)","run-scale block (~150) / n_eff ~ 3,300","STILL SUPPORTED (decisively). The <1e-300 is unjustified pseudo-precision; report effect + corrected CI, drop the p-value.",True
Excursion launches biased toward boundary-proximal beneficial events (launch-window bias),"Results, Fig. 3c","52.7% of 7,182 pre-launch events on launching side vs area-corrected null 50.4%; binomial p = 5e-5 (naive-null p = 2.5e-6)","events pooled across 2,010 excursions in 150 runs; events in one pre-launch window share that excursion's direction, so the excursion is the unit: 1,959 excursions carry >=1 event -> z = 2.04, one-sided p = 0.021; with run clustering (design effect 1.16, n_eff ~ 1,690) p = 0.029. Only ~half the excess survives if within-excursion correlation is partial (rho=0.5: p = 5e-3).","pre-launch event (7,182)","excursion (1,959) / run-clustered (n_eff ~ 1,690)","WEAKENED. Direction survives at p ~ 0.02-0.03 (not p ~ 1e-5). Restate as a modest, marginally significant bias; the 'not co-occurrence' framing still holds but the strength does not.",True
Excursion median displacement 31.5 rows,"Results, Fig. 3c","median 31.5 rows over 2,010 excursions (pooled)","run-clustering weak (ICC = 0.04, design effect 1.5, n_eff ~ 1,318); run-clustered bootstrap 95% CI [30.4, 33.0] rows vs naive [30.4, 32.7]; median of per-run medians 33.6 (150 runs)","excursion (2,010)","run (150), clustered bootstrap","UNCHANGED. Descriptive median barely affected; quote 31.5 rows (95% CI 30-33, run-clustered).",True
"Arrest time not higher under load (9.5 +/- 0.8% vs 10.7 +/- 1.9%, n.s.)","Results, pinning test","9.5 +/- 0.8% (loaded) vs 10.7 +/- 1.9% (neutral), n.s.","already per-run: loaded 9.5 +/- 0.4% (SEM, n = 150 runs), neutral 10.7 +/- 1.0% (SEM, n = 20 runs); Welch t = -1.13, p = 0.27; Mann-Whitney p = 0.29. Manuscript SEs (0.8, 1.9) are ~2x the SEMs (likely SD-based), a conservative direction.",run,run (unchanged),"CORRECTLY REPLICATED, still n.s. Caveat to state: n = 20 neutral runs bounds the detectable difference (~3 percentage points).",True
"Neutral win probability symmetric (0.481, n = 700)","Results, neutral control","0.481, 95% CI [0.444, 0.518]","unit is the run outcome (700 independent runs); Wilson CI reproduces [0.445, 0.518]",run,run (unchanged),CORRECTLY REPLICATED.,True
"Roughening exponent beta = 0.384 [0.371, 0.396] (fixation ensembles); 0.417-0.418 (width controls)","Results, neutral control","beta = 0.384 [0.371, 0.396]; controls 0.417-0.418 with no CI","run-level bootstrap on the persisted width-control trajectories (400 runs/condition): L_short=256, beta = 0.415 [0.406, 0.423]; L_short=128, beta = 0.387 [0.376, 0.398]. The naive OLS-on-ensemble-mean CI is ~4x too narrow ([0.414, 0.416]) - that is the pseudo-replication trap. The fixation-ensemble CI [0.371,0.396] (width 0.025) is consistent with a run-level bootstrap, so it appears correctly computed.",time point along ensemble mean (naive alternative),"run (bootstrap runs, refit)",STILL SUPPORTED. Attach the run-level CI to the control value: beta = 0.415 +/- 0.008 (well above KPZ 1/3 and EW 1/4).,True
"Gap variance growth Var[g] ~ t^alpha, alpha = 1.47-2.12 (six geometries)","Results, Fig. 2e","alpha range quoted without CIs; sigma_dR per geometry with CIs (N = 1,536-24,576 gap samples)","Var[g](t) is an across-run variance at each t (run = unit) - the point estimates are properly replicated; a CI would require refitting under run bootstrap, which needs per-run g(t) (NOT persisted in the store). The independent A_load replicate ensemble (120 runs) gives alpha = 1.83, corroborating alpha ~ 2 (random slope) vs 1 (diffusion). The sigma_dR CIs and the 'N' labels count within-run frame increments, so those CIs are pseudo-replicated and TOO NARROW; run-level CIs cannot be recomputed from the store.","gap-sample increment (N up to 24,576)",run (150-200 per geometry) - NOT RECOMPUTABLE from persisted data,"POINT ESTIMATES SUPPORTED; sigma_dR CIs SHOULD BE FLAGGED. The qualitative claim (alpha ~ 2, gap is a random slope) is robust; the anisotropic sigma_dR exponent fit (L^-0.74 L^-0.26) inherits over-narrow input CIs and its own CIs are optimistic.",True
"Freeze/flow ridge law s* ~ Lambda^0.48 and nested F-tests (p = 0.48, 1.4e-3, 1.8e-6)","Results, Fig. 5e",OLS across 8-10 ridge points; F-tests on residual SS,"each ridge point s* is itself a run-level bootstrap crossing (150 seeds/rung, 1,000 resamples) - the unit is the ridge point, which is a proper aggregate. The F-tests treat 8 points as independent; they are, because each ladder uses disjoint seeds. No pooling of within-run observations.",ridge point (aggregate over runs),ridge point (unchanged),CORRECTLY REPLICATED. Not a pseudo-replication case.,True
"Intensivity of U_d/s_d: slope -0.02/decade [-0.22, +0.19], chi2 p = 0.60","Results, Fig. 5f",'intensive' (weighted fit over 5 crossings),"each crossing mu_d* is a run-bootstrapped aggregate (150 runs/rung; largest cell 60 runs) - properly replicated. The defect is FRAMING (underpowered null), addressed in B3: detectable slope at 80% power is 0.28/decade; TOST excludes |slope| > 0.17/decade.",crossing (aggregate over runs),crossing (unchanged),CORRECTLY REPLICATED but MISFRAMED: replace 'intensive' with the bounded statement (see B3).,True
Excursion waiting times exponential with no aging,"Results, Fig. 3c",descriptor on pooled inter-launch intervals,"run-level within-run CV = 0.68 +/- 0.02 (mean over 136 runs; t vs exponential value 1: p < 1e-6) -> more regular than exponential (sub-Poissonian); per-run KS(expon) rejects in 9/101 runs; no aging confirmed: within-run Spearman rho(waiting, elapsed) = -0.01 +/- 0.03 (141 runs, p = 0.67)",pooled intervals,run,SPLIT: 'no aging' SUPPORTED run-by-run; 'exponential' NOT supported at run level (CV 0.68 < 1) - rewrite as memoryless/no aging but more regular than Poisson.,True
